Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Murray Hall,R,R,1940-11-24,Kirkland Lake,ON,CAN,CAN,72,175,--,--,--,19611962,N,109,27,44,71
Nelson Emerson,R,R,1967-08-17,Hamilton,ON,CAN,CAN,70,180,1985,3,44,19901991,N,771,195,293,488
Pat Elynuik,R,R,1967-10-30,Foam Lake,SK,CAN,CAN,72,185,1986,1,8,19871988,N,506,154,188,342
Kari Eloranta,L,D,1956-02-29,Lahti,--,FIN,FIN,74,200,--,--,--,19811982,N,267,13,103,116
Brian Engblom,L,D,1955-01-27,Winnipeg,MB,CAN,CAN,74,200,1975,2,22,19771978,N,659,29,177,206
Craig Endean,L,L,1968-04-13,Kamloops,BC,CAN,CAN,71,170,1986,5,92,19861987,N,2,0,1,1
Jim Ennis,L,D,1967-07-10,Edmonton,AB,CAN,CAN,72,200,1986,6,126,19871988,N,5,1,0,1
John English,R,D,1966-05-03,Toronto,ON,CAN,CAN,74,190,1984,3,48,19871988,N,3,1,3,4
Chuck Hamilton,L,L,1939-01-18,Kirkland Lake,ON,CAN,CAN,71,175,--,--,--,19611962,N,3,0,2,2
Nick Harbaruk,R,R,1943-08-16,Drohiczyn,--,POL,POL,72,195,--,--,--,19691970,N,290,40,58,98
Joe Hardy,L,C,1945-12-05,Kenogami,QC,CAN,CAN,72,185,--,--,--,19691970,N,40,4,10,14
Jim Hargreaves,R,D,1950-05-02,Winnipeg,MB,CAN,CAN,71,195,1970,2,16,19701971,N,66,1,7,8
Bryan Erickson,R,C,1960-03-07,Roseau,MN,USA,USA,69,170,--,--,--,19831984,N,351,80,125,205
Peter Eriksson,R,L,1965-07-12,Kramfors,--,SWE,SWE,76,218,1987,4,64,19891990,N,20,3,3,6
Roland Eriksson,L,C,1954-03-01,Stora Tuna,--,SWE,SWE,75,190,1974,8,131,19761977,N,193,48,95,143
Thomas Eriksson,L,D,1959-10-16,Stockholm,--,SWE,SWE,74,182,1979,5,98,19801981,N,208,22,76,98
Jan Erixon,L,L,1962-07-08,Skellefteå,--,SWE,SWE,72,196,1981,2,30,19831984,N,556,57,159,216
Hugh Harris,L,C,1948-06-07,Toronto,ON,CAN,CAN,73,195,--,--,--,19721973,N,60,12,26,38
Ron Harris,R,D,1942-06-30,Verdun,QC,CAN,CAN,70,190,--,--,--,19621963,N,273,11,52,63
Bob Errey,L,L,1964-09-21,Montréal,QC,CAN,CAN,71,175,1983,1,15,19831984,N,895,170,212,382
Ted Harris,L,D,1936-07-18,Winnipeg,MB,CAN,CAN,74,183,--,--,--,19631964,N,381,12,73,85
Kevin Evans,L,L,1965-07-10,Peterborough,ON,CAN,CAN,69,185,--,--,--,19901991,N,9,0,1,1
Buster Harvey,R,R,1950-04-02,Fredericton,NB,CAN,CAN,72,185,1970,2,17,19701971,N,407,90,118,208
Hugh Harvey,L,C,1949-06-25,Kingston,ON,CAN,CAN,72,175,--,--,--,19741975,N,18,1,1,2
Todd Ewen,R,R,1966-03-22,Saskatoon,SK,CAN,CAN,75,230,1984,8,168,19861987,N,518,36,40,76
Shawn Evans,L,D,1965-09-07,Kingston,ON,CAN,CAN,75,195,1983,2,24,19851986,N,9,1,0,1
Doug Evans,L,L,1963-06-02,Peterborough,ON,CAN,CAN,69,185,--,--,--,19851986,N,355,48,87,135
Chris Evans,L,D,1946-09-14,Toronto,ON,CAN,CAN,69,180,--,--,--,19691970,N,239,19,42,61
Daryl Evans,L,R,1961-01-12,Toronto,ON,CAN,CAN,69,185,1980,9,178,19811982,N,113,22,30,52
John Paul Evans,L,C,1954-05-02,Toronto,ON,CAN,CAN,69,185,1974,5,84,19781979,N,103,14,25,39
Dean Evason,R,C,1964-08-22,Flin Flon,MB,CAN,CAN,70,180,1982,5,89,19831984,N,803,139,233,372
Ed Hatoum,R,R,1947-12-07,Beirut,--,LBN,LBN,70,180,--,--,--,19681969,N,26,1,3,4
Bill Heindl,L,L,1946-05-13,Sherbrooke,QC,CAN,CAN,70,175,--,--,--,19701971,N,18,2,1,3
Earl Heiskala,L,L,1942-11-30,Kirkland Lake,ON,CAN,CAN,72,185,--,--,--,19681969,N,41,2,1,3
Dave Farrish,L,D,1956-08-01,Wingham,ON,CAN,CAN,73,195,1976,2,24,19761977,N,430,17,110,127
Glen Featherstone,L,D,1968-07-08,Toronto,ON,CAN,CAN,77,215,1986,4,73,19881989,N,384,19,61,80
Chris Felix,R,D,1964-05-27,Toronto,ON,CAN,CAN,71,190,--,--,--,19881989,N,35,1,12,13
Mario Faubert,R,D,1954-12-02,Valleyfield,QC,CAN,CAN,73,175,1974,4,62,19741975,N,231,21,90,111
Ted Fauss,L,R,1961-06-30,Clinton,NY,USA,USA,74,205,--,--,--,19861987,N,28,0,2,2
Brent Fedyk,R,L,1967-03-08,Yorkton,SK,CAN,CAN,72,195,1985,1,8,19871988,N,470,97,112,209
Mark Ferner,L,D,1965-09-05,Regina,SK,CAN,CAN,72,195,1983,10,194,19861987,N,91,3,10,13
Dave Feamster,L,D,1958-09-10,Detroit,MI,USA,USA,71,180,1978,6,96,19811982,N,169,13,24,37
David Fenyves,L,D,1960-04-29,Dunnville,ON,CAN,CAN,71,192,--,--,--,19821983,N,206,3,32,35
Paul Fenton,L,L,1959-12-22,Springfield,MA,USA,USA,71,180,--,--,--,19841985,N,411,100,83,183
Tony Feltrin,L,D,1961-12-06,Ladysmith,BC,CAN,CAN,73,184,1980,4,72,19801981,N,48,3,3,6
Tom Fergus,L,C,1962-06-16,Chicago,IL,USA,USA,75,210,1980,3,60,19811982,N,726,235,346,581
George Ferguson,R,C,1952-08-22,Trenton,ON,CAN,CAN,72,195,1972,1,11,19721973,N,797,160,238,398
John Ferguson,L,L,1938-09-05,Vancouver,BC,CAN,CAN,71,190,--,--,--,19631964,N,60,16,14,30
Norm Ferguson,R,R,1945-10-16,Sydney,NS,CAN,CAN,69,165,--,--,--,19681969,N,131,28,37,65
Mike Fidler,L,L,1956-08-19,Everett,MA,USA,USA,71,195,1976,3,41,19761977,N,271,84,97,181
Ron Fischer,R,D,1959-04-12,Merritt,BC,CAN,DEU,74,195,--,--,--,19811982,N,18,0,7,7
Ray Ferraro,L,C,1964-08-23,Trail,BC,CAN,CAN,69,200,1982,5,88,19841985,N,"1,258",408,490,898
Steven Finn,L,D,1966-08-20,Laval,QC,CAN,CAN,72,198,1984,3,57,19851986,N,725,34,78,112
Jeff Finley,L,D,1967-04-14,Edmonton,AB,CAN,CAN,74,203,1985,3,55,19871988,N,708,13,70,83
Bob Fitchner,L,C,1950-12-22,Sudbury,ON,CAN,CAN,72,190,1970,6,77,19791980,N,78,12,20,32
Ross Fitzpatrick,L,C,1960-10-07,Penticton,BC,CAN,CAN,72,195,1980,7,147,19821983,N,20,5,2,7
Tom Fitzgerald,R,R,1968-08-28,Billerica,MA,USA,USA,72,195,1986,1,17,19881989,N,"1,097",139,190,329
Craig Fisher,L,C,1970-06-30,Oshawa,ON,CAN,CAN,75,180,1988,3,56,19891990,N,12,0,0,0
Patrick Flatley,R,R,1963-10-03,Toronto,ON,CAN,CAN,74,205,1982,1,21,19831984,N,780,170,340,510
Bryan Hextall Jr.,L,C,1941-05-23,Winnipeg,MB,CAN,CAN,71,185,--,--,--,19621963,N,462,87,140,227
Theo Fleury,R,R,1968-06-29,Oxbow,SK,CAN,CAN,66,182,1987,8,166,19881989,N,"1,084",455,633,"1,088"
John Flesch,L,R,1953-07-15,Sudbury,ON,CAN,CAN,74,200,1973,5,69,19741975,N,124,18,23,41
Steven Fletcher,L,D,1962-03-31,Montréal,QC,CAN,CAN,74,180,1980,10,202,19881989,N,3,0,0,0
Bill Hicke,L,R,1938-03-31,Regina,SK,CAN,CAN,68,164,--,--,--,19591960,N,86,20,17,37
Larry Hillman,L,D,1937-02-05,Kirkland Lake,ON,CAN,CAN,72,185,--,--,--,19541955,N,216,10,50,60
Wayne Hillman,R,D,1938-11-13,Kirkland Lake,ON,CAN,CAN,73,205,--,--,--,19611962,N,190,5,20,25
Bill Flett,R,R,1943-07-21,Vermilion,AB,CAN,CAN,73,205,--,--,--,19671968,N,475,138,152,290
Todd Flichel,R,D,1964-09-14,Osgoode,ON,CAN,CAN,75,195,1983,9,169,19871988,N,6,0,1,1
Rob Flockhart,L,R,1956-02-06,Sicamous,BC,CAN,CAN,72,185,1976,3,44,19761977,N,55,2,5,7
Ron Flockhart,L,C,1960-10-10,Smithers,BC,CAN,CAN,71,190,--,--,--,19801981,N,453,145,183,328
Larry Floyd,L,C,1961-05-01,Peterborough,ON,CAN,CAN,68,180,--,--,--,19821983,N,12,2,3,5
Lee Fogolin Jr.,R,D,1955-02-07,Chicago,IL,USA,USA,72,200,1974,1,11,19741975,N,924,44,194,238
Bryan Fogarty,L,D,1969-06-11,Brantford,ON,CAN,CAN,73,205,1987,1,9,19891990,N,156,22,52,74
Mike Foligno,R,R,1959-01-29,Sudbury,ON,CAN,CAN,74,195,1979,1,3,19791980,N,"1,018",355,372,727
Dan Hinton,L,L,1953-05-24,Toronto,ON,CAN,CAN,73,180,1973,5,77,19761977,N,14,0,0,0
Jon Fontas,R,C,1958-04-11,Boston,MA,USA,USA,70,185,--,--,--,19791980,N,2,0,0,0
Phil Hoene,L,L,1949-03-15,Duluth,MN,USA,USA,69,175,--,--,--,19721973,N,37,2,4,6
Terry Holbrook,R,R,1950-07-11,Petrolia,ON,CAN,CAN,72,185,1970,3,38,19721973,N,43,3,6,9
Jerry Holland,L,L,1954-08-25,Beaverlodge,AB,CAN,CAN,70,180,1974,3,50,19741975,N,37,8,4,12
Greg Holst,L,C,1954-02-21,Montréal,QC,CAN,AUT,70,170,1974,8,139,19751976,N,11,0,0,0
Gary Holt,L,L,1952-01-01,Sarnia,ON,CAN,CAN,69,175,--,--,--,19731974,N,102,13,11,24
Dave Forbes,L,R,1948-11-16,Montréal,QC,CAN,CAN,70,180,--,--,--,19731974,N,362,64,64,128
Mike Forbes,R,D,1957-09-20,Brampton,ON,CAN,CAN,74,200,1977,3,52,19771978,N,50,1,11,12
Ron Homenuke,R,R,1952-01-05,Hazelton,BC,CAN,CAN,70,180,1972,4,51,19721973,N,1,0,0,0
Doug Horbul,L,L,1952-07-27,Nokomis,SK,CAN,CAN,69,170,1972,4,63,19741975,N,4,1,0,1
Larry Hornung,L,D,1945-11-10,Weyburn,SK,CAN,CAN,72,190,--,--,--,19701971,N,47,2,9,11
Claude Houde,L,D,1947-11-08,Drummondville,QC,CAN,CAN,73,188,--,--,--,19741975,N,59,3,6,9
Alex Forsyth,L,C,1955-01-06,Galt,ON,CAN,CAN,74,195,1975,1,18,19761977,N,1,0,0,0
Dave Hrechkosy,L,L,1951-11-01,Winnipeg,MB,CAN,CAN,74,195,--,--,--,19731974,N,140,42,24,66
Jim Hrycuik,L,C,1949-10-07,Rosthern,SK,CAN,CAN,70,180,--,--,--,19741975,N,21,5,5,10
Dave Fortier,L,D,1951-06-17,Sudbury,ON,CAN,CAN,71,190,1971,2,23,19721973,N,205,8,21,29
Fran Huck,L,C,1945-12-04,Regina,SK,CAN,CAN,67,165,--,--,--,19691970,N,92,24,30,54
Marc Fortier,R,C,1966-02-26,Sherbrooke,QC,CAN,CAN,72,192,--,--,--,19871988,N,212,42,60,102
Corey Foster,L,D,1969-10-27,Ottawa,ON,CAN,CAN,75,204,1988,1,12,19881989,N,45,5,6,11
Dwight Foster,R,R,1957-04-02,Toronto,ON,CAN,CAN,70,190,1977,1,16,19771978,N,541,111,163,274
Nick Fotiu,L,L,1952-05-25,Staten Island,NY,USA,USA,74,210,--,--,--,19761977,N,646,60,77,137
Dave Hudson,L,C,1949-12-28,St. Thomas,ON,CAN,CAN,72,185,1969,6,71,19721973,N,409,59,124,183
Jim Fox,R,R,1960-05-18,Coniston,ON,CAN,CAN,68,185,1980,1,10,19801981,N,578,186,293,479
Greg Fox,L,D,1953-08-12,Port McNeill,BC,CAN,CAN,74,190,1973,11,162,19771978,N,494,14,92,106
Bobby Francis,R,C,1958-12-05,North Battleford,SK,CAN,CAN,69,175,--,--,--,19821983,N,14,2,0,2
Lou Franceschetti,L,L,1958-03-28,Toronto,ON,CAN,CAN,72,200,1978,5,71,19811982,N,459,59,81,140
Frantisek Musil,L,D,1964-12-17,Pardubice,--,CZE,CZE,75,215,1983,2,38,19861987,N,797,34,106,140
Curt Fraser,L,L,1958-01-12,Cincinnati,OH,USA,CAN,73,200,1978,2,22,19781979,N,704,193,239,432
Brent Hughes,L,D,1943-06-17,Bowmanville,ON,CAN,CAN,72,205,--,--,--,19671968,N,267,8,81,89
Dan Frawley,R,R,1962-06-02,Sturgeon Falls,ON,CAN,CAN,72,170,1980,10,204,19831984,N,273,37,40,77
Frank Hughes,L,L,1949-10-01,Fernie,BC,CAN,CAN,70,180,1969,4,43,19711972,N,5,0,0,0
Dennis Hull,L,L,1944-11-19,Point Anne,ON,CAN,CAN,71,198,--,--,--,19641965,N,587,202,241,443
Mark Freer,L,C,1968-07-14,Toronto,ON,CAN,CAN,70,180,--,--,--,19861987,N,124,16,23,39
Tim Friday,R,D,1961-03-05,Burbank,CA,USA,USA,72,190,--,--,--,19851986,N,23,0,3,3
Ron Friest,L,L,1958-11-04,Windsor,ON,CAN,CAN,71,185,--,--,--,19801981,N,64,7,7,14
Len Frig,R,D,1950-10-23,Lethbridge,AB,CAN,CAN,71,190,1970,3,42,19731974,N,311,13,51,64
Dan Fridgen,L,L,1959-05-18,Arnprior,ON,CAN,CAN,71,175,--,--,--,19811982,N,13,2,3,5
Robbie Ftorek,L,C,1952-01-02,Needham,MA,USA,USA,70,155,--,--,--,19721973,N,334,77,150,227
Miroslav Frycer,L,C,1959-09-27,Ostrava,--,CZE,CZE,72,200,--,--,--,19811982,N,415,147,183,330
Mark Fusco,R,D,1961-03-12,Woburn,MA,USA,USA,69,175,--,--,--,19831984,N,80,3,12,15
Larry Huras,L,D,1955-07-08,Listowel,ON,CAN,CAN,74,200,1975,5,84,19761977,N,2,0,0,0
Bob Hurlburt,L,L,1950-05-01,Toronto,ON,CAN,CAN,71,185,--,--,--,19741975,N,1,0,0,0
Link Gaetz,L,D,1968-10-02,Vancouver,BC,CAN,CAN,74,223,1988,2,40,19881989,N,65,6,8,14
Paul Gagne,L,L,1962-02-06,Iroquois Falls,ON,CAN,CAN,70,180,1980,1,19,19801981,N,390,110,101,211
Jody Gage,R,R,1959-11-29,Toronto,ON,CAN,CAN,72,190,1979,3,45,19801981,N,68,14,15,29
Dave Gagner,L,C,1964-12-11,Chatham,ON,CAN,CAN,70,188,1983,1,12,19841985,N,946,318,401,719
Michel Galarneau,R,C,1961-03-01,Montréal,QC,CAN,FRA,74,180,1980,2,29,19801981,N,78,7,10,17
Gerard Gallant,L,L,1963-09-02,Summerside,PE,CAN,CAN,70,190,1981,6,107,19841985,N,615,211,269,480
Jamie Gallimore,R,R,1957-11-28,Edmonton,AB,CAN,CAN,72,180,1977,6,97,19771978,N,2,0,0,0
Garry Galley,L,D,1963-04-16,Montréal,QC,CAN,CAN,72,207,1983,5,100,19841985,N,"1,149",125,475,600
Ron Huston,R,C,1945-04-08,Manitou,MB,CAN,CAN,69,170,--,--,--,19731974,N,79,15,31,46
Dave Hynes,L,L,1951-04-17,Cambridge,MA,USA,USA,69,182,1971,4,56,19731974,N,22,4,0,4
Earl Ingarfield,L,C,1934-10-25,Lethbridge,AB,CAN,CAN,71,185,--,--,--,19581959,N,49,5,8,13
Ted Irvine,L,L,1944-12-08,Winnipeg,MB,CAN,CAN,74,195,--,--,--,19631964,N,499,110,115,225
Dave Gans,R,C,1964-06-06,Brantford,ON,CAN,CAN,70,180,1982,4,64,19821983,N,6,0,0,0
Perry Ganchar,R,R,1963-10-28,Saskatoon,SK,CAN,CAN,69,180,1982,6,113,19831984,N,42,3,7,10
Tim Jacobs,L,D,1952-03-28,Espanola,ON,CAN,CAN,70,180,1972,5,70,19751976,N,46,0,10,10
Bill Gardner,L,C,1960-03-18,Toronto,ON,CAN,CAN,70,180,1979,3,49,19801981,N,380,73,115,188
Dave Gardner,R,C,1952-08-23,Toronto,ON,CAN,CAN,72,185,1972,1,8,19721973,N,350,75,115,190
Doug Jarrett,L,D,1944-04-22,London,ON,CAN,CAN,75,205,--,--,--,19641965,N,378,19,82,101
Paul Gardner,L,C,1956-03-05,Fort Erie,ON,CAN,CAN,72,195,1976,1,11,19761977,N,447,201,201,402
Gary Jarrett,L,L,1942-09-03,Toronto,ON,CAN,CAN,68,170,--,--,--,19601961,N,130,20,29,49
Pierre Jarry,L,L,1949-03-30,Montréal,QC,CAN,CAN,71,190,1969,1,12,19711972,N,344,88,117,205
Bjorn Johansson,L,D,1956-01-15,Orebro,--,SWE,SWE,72,195,1976,1,5,19761977,N,15,1,1,2
Danny Gare,R,R,1954-05-14,Nelson,BC,CAN,CAN,69,175,1974,2,29,19741975,N,827,354,331,685
Rob Garner,L,C,1958-08-17,Weston,ON,CAN,CAN,71,180,1978,5,75,19821983,N,1,0,0,0
Johan Garpenlov,L,L,1968-03-21,Stockholm,--,SWE,SWE,71,185,1986,5,85,19901991,N,609,114,197,311
Dallas Gaume,L,C,1963-08-27,Innisfail,AB,CAN,CAN,70,185,--,--,--,19881989,N,4,1,1,2
Jean-Marc Gaulin,R,R,1962-03-03,Balve,--,DEU,CAN,70,180,1981,3,53,19821983,N,26,4,3,7
Steve Gatzos,R,R,1961-06-22,Toronto,ON,CAN,CAN,71,185,1981,2,28,19811982,N,89,15,20,35
Stew Gavin,L,R,1960-03-15,Ottawa,ON,CAN,CAN,72,190,1980,4,74,19801981,N,768,130,155,285
Luc Gauthier,R,D,1964-04-19,Victoriaville,QC,CAN,CAN,69,195,--,--,--,19901991,N,3,0,0,0
Brad Gassoff,L,L,1955-11-13,Quesnel,BC,CAN,CAN,71,195,1975,2,28,19751976,N,122,19,17,36
Jocelyn Gauvreau,L,D,1964-03-04,Masham,QC,CAN,CAN,71,180,1982,2,31,19831984,N,2,0,0,0
Bob Geale,R,C,1962-04-17,Edmonton,AB,CAN,CAN,71,175,1980,8,156,19841985,N,1,0,0,0
Martin Gelinas,L,L,1970-06-05,Shawinigan,QC,CAN,CAN,71,202,1988,1,7,19881989,N,"1,273",309,351,660
Danny Johnson,L,C,1944-10-01,Winnipegosis,MB,CAN,CAN,71,170,--,--,--,19691970,N,119,18,19,37
Jim Johnson,L,C,1942-11-07,Winnipeg,MB,CAN,CAN,69,190,--,--,--,19641965,N,140,37,53,90
Joey Johnston,L,L,1949-03-03,Peterborough,ON,CAN,CAN,70,180,1966,2,8,19681969,N,320,84,106,190
Larry Johnston,R,D,1943-07-20,Kitchener,ON,CAN,CAN,71,195,--,--,--,19671968,N,316,9,64,73
Marshall Johnston,R,D,1941-06-06,Birch Hills,SK,CAN,CAN,71,175,--,--,--,19671968,N,203,14,47,61
Jim Jones,L,D,1949-07-27,Espanola,ON,CAN,CAN,70,185,1969,6,69,19711972,N,2,0,0,0
Danny Geoffrion,R,R,1958-01-24,Montréal,QC,CAN,CAN,70,185,1978,1,8,19791980,N,111,20,32,52
Ron Jones,L,D,1951-04-11,Vermilion,AB,CAN,CAN,73,195,1971,1,6,19711972,N,54,1,4,5
Eddie Joyal,L,C,1940-05-08,Edmonton,AB,CAN,CAN,72,178,--,--,--,19621963,N,138,34,28,62
Eric Germain,L,D,1966-06-26,Quebec City,QC,CAN,CAN,73,195,--,--,--,19871988,N,4,0,1,1
Gord Kannegiesser,L,D,1945-12-21,North Bay,ON,CAN,CAN,72,190,--,--,--,19671968,N,4,0,0,0
Sheldon Kannegiesser,L,D,1947-08-15,North Bay,ON,CAN,CAN,72,198,--,--,--,19701971,N,366,14,67,81
Al Karlander,L,C,1946-11-05,Lac La Hache,BC,CAN,CAN,68,170,1967,2,17,19691970,N,171,31,46,77
Mario Giallonardo,L,D,1957-09-23,Toronto,ON,CAN,CAN,71,201,--,--,--,19791980,N,23,0,3,3
Mike Keating,L,L,1957-01-21,Toronto,ON,CAN,CAN,72,185,1977,2,26,19771978,N,1,0,0,0
Larry Keenan,L,L,1940-10-01,North Bay,ON,CAN,CAN,71,175,--,--,--,19611962,N,89,11,24,35
Dave Kelly,R,R,1952-09-20,Chatham,ON,CAN,CAN,74,205,--,--,--,19761977,N,16,2,0,2
Barry Gibbs,R,D,1948-09-28,Lloydminster,SK,CAN,CAN,71,195,1966,1,1,19671968,N,717,55,211,266
Doug Gibson,L,C,1953-09-28,Peterborough,ON,CAN,CAN,70,175,1973,3,36,19731974,N,63,9,19,28
John Gibson,L,C,1959-07-02,St. Catharines,ON,CAN,CAN,75,210,1979,4,71,19801981,N,48,0,2,2
Don Gibson,R,D,1967-03-17,Deloraine,MB,CAN,CAN,73,210,1986,3,49,19901991,N,14,0,3,3
Lee Giffin,R,R,1967-04-01,Camrose,SK,CAN,CAN,72,188,1985,2,23,19861987,N,27,1,3,4
Rick Kessell,L,C,1949-07-27,Toronto,ON,CAN,CAN,70,175,1969,2,15,19691970,N,127,3,22,25
Greg Gilbert,L,L,1962-01-22,Toronto,ON,CAN,CAN,73,195,1980,4,80,19811982,N,837,150,228,378
Curt Giles,L,D,1958-11-30,The Pas,MB,CAN,CAN,68,175,1978,4,54,19791980,N,895,43,199,242
Brent Gilchrist,L,L,1967-04-03,Moose Jaw,SK,CAN,CAN,71,180,1985,4,79,19881989,N,792,135,170,305
Kerry Ketter,L,D,1947-09-20,Prince George,BC,CAN,CAN,73,202,--,--,--,19721973,N,41,0,2,2
Randy Gilhen,L,C,1963-06-13,Zweibrucken,--,DEU,DEU,72,190,1982,6,109,19821983,N,457,55,60,115
Wayne King,R,C,1951-09-04,Midland,ON,CAN,CAN,70,185,--,--,--,19731974,N,73,5,18,23
Todd Gill,L,D,1965-11-09,Cardinal,ON,CAN,CAN,72,185,1984,2,25,19841985,N,"1,007",82,272,354
Don Gillen,R,R,1960-12-24,Dodsland,SK,CAN,CAN,75,210,1979,4,77,19791980,N,35,2,4,6
Mike Gillis,L,L,1958-12-01,Sudbury,ON,CAN,CAN,73,195,1978,1,5,19781979,N,246,33,43,76
Paul Gillis,L,C,1963-12-31,Toronto,ON,CAN,CAN,71,198,1982,2,34,19821983,N,624,88,154,242
Jere Gillis,L,L,1957-01-18,Bend,OR,USA,USA,72,194,1977,1,4,19771978,N,386,78,95,173
Brian Kinsella,R,C,1954-02-11,Barrie,ON,CAN,CAN,71,180,1974,6,91,19751976,N,10,0,1,1
Gaston Gingras,L,D,1959-02-13,North Bay,ON,CAN,CAN,73,200,1979,2,27,19791980,N,476,61,174,235
Larry Giroux,R,D,1951-08-28,Weyburn,SK,CAN,CAN,72,190,--,--,--,19731974,N,274,15,74,89
Pierre Giroux,R,C,1955-11-17,Brownsburg,QC,CAN,CAN,71,185,1975,4,61,19821983,N,6,1,0,1
Bob Gladney,L,D,1957-08-27,Come-By-Chance,NL,CAN,CAN,71,185,1977,2,24,19821983,N,14,1,5,6
Brian Glennie,L,D,1946-08-29,Toronto,ON,CAN,CAN,73,197,--,--,--,19691970,N,520,13,86,99
Larry Gloekner,L,D,1956-01-25,Kindersley,SK,CAN,CAN,74,210,1976,2,34,19781979,N,13,0,2,2
Skip Krake,R,C,1943-10-14,North Battleford,SK,CAN,CAN,71,170,--,--,--,19631964,N,74,4,5,9
Ernie Godden,L,C,1961-03-13,Toronto,ON,CAN,CAN,68,160,1981,3,55,19811982,N,5,1,1,2
Kevin Krook,L,D,1958-04-05,Cold Lake,AB,CAN,CAN,71,187,1978,9,142,19781979,N,3,0,0,0
Jim Krulicki,L,L,1948-03-09,Kitchener,ON,CAN,CAN,71,180,--,--,--,19701971,N,41,0,3,3
Dave Kryskow,L,L,1951-12-25,Edmonton,AB,CAN,CAN,70,175,1971,2,26,19721973,N,231,33,56,89
Eddy Godin,L,R,1957-03-29,Donnacona,QC,CAN,CAN,70,190,1977,3,39,19771978,N,27,3,6,9
Alexander Godynyuk,L,D,1970-01-27,Kiev,--,RUS,UKR,73,210,1990,6,115,19901991,N,223,10,39,49
Murray Kuntz,L,L,1945-12-19,Ottawa,ON,CAN,CAN,70,180,--,--,--,19741975,N,7,1,2,3
Orland Kurtenbach,L,C,1936-09-07,Cudworth,SK,CAN,CAN,74,180,--,--,--,19601961,N,229,62,101,163
Moe L'Abbe,L,R,1947-08-12,Montréal,QC,CAN,CAN,69,170,1964,4,22,19721973,N,5,0,1,1
Dave Goertz,R,D,1965-03-28,Edmonton,AB,CAN,CAN,71,210,1983,12,223,19871988,N,2,0,0,0
Gord Labossiere,R,C,1940-01-02,St. Boniface,MB,CAN,CAN,73,190,--,--,--,19631964,N,83,21,17,38
Pete Laframboise,L,L,1950-01-18,Ottawa,ON,CAN,CAN,74,185,1970,2,19,19711972,N,227,33,55,88
Roger Lafreniere,L,L,1942-07-24,Montréal,QC,CAN,CAN,72,190,--,--,--,19621963,N,10,0,0,0
Jean-Guy Lagace,R,D,1945-02-05,L'Abord-a-Plouffe,QC,CAN,CAN,70,185,--,--,--,19681969,N,180,9,38,47
Serge Lajeunesse,L,D,1950-06-11,Montréal,QC,CAN,CAN,70,185,1970,1,12,19701971,N,103,1,4,5
Glenn Goldup,L,R,1953-04-26,St. Catharines,ON,CAN,CAN,72,190,1973,2,17,19731974,N,291,52,67,119
Guy Gosselin,R,D,1964-06-06,Rochester,MN,USA,USA,70,185,1982,8,159,19871988,N,5,0,0,0
Larry Goodenough,R,D,1953-01-19,Toronto,ON,CAN,CAN,72,195,1973,2,20,19741975,N,242,22,77,99
Dave Gorman,R,R,1955-04-08,Oshawa,ON,CAN,CAN,71,185,1975,4,70,19791980,N,3,0,0,0
Butch Goring,L,C,1949-10-22,St. Boniface,MB,CAN,CAN,69,170,1969,5,51,19691970,N,"1,048",362,490,852
John Gould,L,R,1949-04-11,Beeton,ON,CAN,CAN,71,197,--,--,--,19711972,N,504,131,138,269
Benoit Gosselin,L,L,1957-07-19,Montréal,QC,CAN,CAN,71,190,1977,5,80,19771978,N,7,0,0,0
Tom Gorence,R,R,1957-03-11,St. Paul,MN,USA,USA,72,190,1977,2,35,19781979,N,303,58,53,111
Steve Gotaas,R,C,1967-05-10,Chatham,ON,CAN,CAN,70,180,1985,5,86,19871988,N,49,6,9,15
Bobby Gould,R,R,1957-09-02,Petrolia,ON,CAN,CAN,72,195,1977,7,118,19791980,N,697,145,159,304
Christopher Govedaris,L,L,1970-02-02,Toronto,ON,CAN,CAN,72,200,1988,1,11,19891990,N,45,4,6,10
Mike Lampman,L,L,1950-04-20,Hamilton,ON,CAN,CAN,74,195,1970,10,112,19721973,N,96,17,20,37
Steve Langdon,L,L,1953-12-23,Toronto,ON,CAN,CAN,71,175,1973,4,63,19741975,N,7,0,1,1
Alain Langlais,L,L,1950-10-09,Chicoutimi,QC,CAN,CAN,70,175,--,--,--,19731974,N,25,4,4,8
Claude Larose,R,R,1942-03-02,Hearst,ON,CAN,CAN,72,180,--,--,--,19621963,N,533,119,137,256
Thomas Gradin,R,C,1956-02-18,Solleftea,--,SWE,SWE,71,176,1976,3,45,19781979,N,677,209,384,593
Mike Laughton,L,C,1944-02-21,Nelson,BC,CAN,CAN,74,185,--,--,--,19671968,N,25,1,0,1
Brian Lavender,L,L,1947-04-20,Edmonton,AB,CAN,CAN,72,174,--,--,--,19711972,N,184,16,26,42
Dirk Graham,R,R,1959-07-29,Regina,SK,CAN,CAN,71,190,1979,5,89,19831984,N,772,219,270,489
Pat Graham,L,L,1961-05-25,Toronto,ON,CAN,CAN,73,190,1980,6,114,19811982,N,103,11,17,28
Tony Granato,R,R,1964-07-25,Downers Grove,IL,USA,USA,70,180,1982,6,120,19881989,N,773,248,244,492
